"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","cor.train_mean","AUC.valid_mean","ll.valid_mean","nagel.valid_mean","plr.valid_mean","cor.valid_mean"
168,0,0.2,0.25,1,0.002,1,0.1,"relu",1,0.3,0.735614761649236,-27.7538804662676,0.156531313130328,1.60968287821737,0.311104363133512,0.61061365490021,-7.98935470893931,0.0060840627486284,1.25679062642688,0.143856158933593
313,0,0.4,0.5,1,0.002,1,0.1,"relu",0.1,0.7,0.739133588699015,-27.7550800187828,0.156390056696758,1.5913889725077,0.312587448534685,0.608544795894713,-7.99528342237435,0.0124319257979563,1.28330380979666,0.14572791519001
519,0.8,0.2,0.25,0.75,0.002,2,0.1,"relu",0.6,0.3,0.72945358462741,-27.9315381351557,0.147130933303097,1.56241266890152,0.298028163156803,0.60820971625366,-7.90794652875933,0.0152822758535445,1.24357057721252,0.1413512927627
317,0.8,0.4,0,1,0.002,1,0.1,"relu",0.5,0,0.722610658777118,-28.0528258199943,0.145445720450419,1.65477163300952,0.287562228274923,0.608063548645107,-8.26277357127784,-0.051897994355607,1.29626375756942,0.135100225029944
874,0,1,0.5,0.25,0.002,1,0.1,"relu",0.3,0.3,0.725463627230557,-28.0061300112213,0.145477044698029,1.58268005665736,0.294118788050476,0.606747548988398,-8.04934899983415,0.00406307713020666,1.27088413678642,0.133846872267074
653,0.8,0.8,0.25,0.25,0.002,2,0.1,"relu",0.5,0.8,0.705795432526581,-28.6678328792299,0.116142286490956,1.41594251877835,0.268162618165717,0.605899326501483,-7.9885124327757,0.0111278725910963,1.18759084072594,0.134236954066158
795,0,0.2,0.75,1,0.002,1,0.1,"relu",0.4,0.4,0.730354615081587,-27.9758087580203,0.14491824429547,1.54123934246975,0.301153368004781,0.605466838853015,-8.03613187408325,0.000601349380924003,1.23557495328304,0.135341113883512
671,0,0.6,0.25,0.75,0.002,1,0.1,"relu",0.3,1,0.714767979793715,-28.3826100273691,0.128998395709668,1.49697484675368,0.279092726400279,0.603359360585969,-8.00473479423149,0.00674501671681286,1.19885408597553,0.131310467011384
704,0.8,0.8,1,0,0.002,1,0.1,"relu",0.2,0.3,0.713092134904762,-28.2024621402105,0.135268577921644,1.53957793280033,0.280080880454622,0.603181621043583,-8.01323769828935,0.00935966010005425,1.24721939893441,0.132470271333279
707,0,0.4,0.5,0.5,0.002,1,0.1,"relu",0.5,0.1,0.716492598194279,-28.2295003593622,0.136266450496808,1.54633750636969,0.28060240544025,0.602362631127173,-8.04543656656471,-0.000604983576253223,1.23780667210676,0.131657981935869
809,0.8,0,0.75,1,0.002,1,0.1,"relu",0,0.8,0.701687272514792,-29.1105997566352,0.112042717531273,1.38947694690927,0.260172153037837,0.602052917051461,-8.10791924887524,0.00844295967817769,1.1673487650988,0.129733721253381
414,0.8,0.6,0.25,1,0.002,1,0.1,"relu",1,0,0.728293790856937,-28.0202946165927,0.146198925054903,1.57883482399767,0.299793511342791,0.600383561896913,-8.08255066001806,-0.0083594181899375,1.2267087976375,0.131824093399572
990,1,0.2,0,1,0.002,1,0.1,"relu",0.5,0.5,0.73310126636274,-27.67295088994,0.1590444555704,1.76140366654773,0.305508716927638,0.600334080871994,-8.31719306797329,-0.0631925613775953,1.28705096709235,0.12585322395355
51,0.6,0,0.25,1,0.002,2,0.1,"relu",0.7,0.2,0.719827573428447,-28.3268502029987,0.133241227803684,1.49247568716789,0.283530775734281,0.599970768076638,-7.99123189397236,0.00552469935787004,1.22719563686576,0.132606617632154
841,0.2,0.2,0.25,0.75,0.002,1,0.1,"relu",0.6,0.1,0.725975536298117,-27.9389364676167,0.147396470176539,1.6163981337,0.297418222687017,0.59992358537665,-8.05048541659738,-0.0011657084782773,1.23149014477389,0.128232953915746
