"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","tss.train_mean","AUC.valid_mean","ll.valid_mean","nagel.valid_mean","plr.valid_mean","tjur.valid_mean","cor.valid_mean","tss.valid_mean"
777,0,1,0.25,0.75,0.002,2,0.1,"relu",0.7,0.1,0.881270879072331,-20.5510859635774,0.441144055118365,4.45315380325714,0.267498065420948,0.557478000419324,0.810873983860794,0.660285284344449,-9.39493240085698,-0.662267050129552,2.6479596062542,0.0806001183158482,0.196167328911852,0.762339206497241
759,0,0.6,0.5,0.75,0.002,2,0.1,"relu",0.7,0,0.874053328021665,-20.8903370868793,0.429050537774874,4.33280722063273,0.259398958498616,0.545755697980407,0.809107438902951,0.652149390081231,-9.64524306354199,-0.967347411513636,2.47006342810676,0.080464986354983,0.194305911897359,0.762243653151263
469,0,0.8,0.5,0.25,0.001,1,0.2,"relu",0.3,0.2,0.853702906426111,-22.4792972721631,0.368137760952049,3.35188246354707,0.209279900913767,0.500456428236871,0.794782118079462,0.651376274854089,-8.36601832077938,-0.139279333019396,1.95891398828671,0.0716454149657462,0.200697917493147,0.75378395817682
174,0,0.4,1,0.75,0.001,1,0.2,"relu",0.3,0,0.85316508127548,-22.5300502921113,0.366317940002964,3.33560623937139,0.208119587767042,0.499193083254084,0.794108002304961,0.65087224535286,-8.28134622302576,-0.142594998878913,1.87976907595373,0.0697536009040415,0.195153702171431,0.753593528055383
94,0,1,0.75,0,0.002,2,0.1,"relu",0.2,0.9,0.875883403771348,-20.7522434021744,0.434340914124616,4.45896394156352,0.265613282381366,0.546494468706348,0.810308215878522,0.650124760950827,-9.65278541976499,-1.01048942155773,2.14517348368917,0.0757243963762376,0.18495067630541,0.762358160851255
594,0,0.4,0.25,0.25,0.002,2,0.1,"relu",0.9,0,0.872042795225866,-21.0071950680415,0.424524294088348,4.24346799005168,0.258221876916509,0.541555604808127,0.80757924972342,0.64987613569702,-9.46370463482294,-0.833470604719158,2.15500521200302,0.0787699257708759,0.190554123584231,0.759365694463725
526,0,0.4,0.75,0.75,0.001,2,0.1,"relu",0.1,0.8,0.842222400457041,-22.8124503755052,0.356085991072717,3.39767399006158,0.2063387267875,0.482678322574716,0.797092292615376,0.649527439443438,-8.62132978223612,-0.200812901237314,1.96257425706518,0.0712021257237147,0.194664701497885,0.760220226207235
405,0,1,0.75,1,0.002,2,0.1,"relu",0.7,0.9,0.878772021089428,-20.7121484396283,0.43546313489908,4.38385952950181,0.264122317398751,0.552390653690308,0.808833017285294,0.649213249029164,-9.58077823013708,-1.08919037202359,2.42637233845543,0.0795335793284354,0.192752983708297,0.763046132788882
49,0,0.6,0.5,0.75,0.002,1,0.2,"relu",0.6,0.3,0.884995889058889,-20.5953875425018,0.439152731746558,4.21105664201533,0.255301606086409,0.559125026179344,0.808358005729822,0.648689154398664,-8.98747020402644,-0.448511642945974,2.54182284666842,0.0749734886427449,0.19893766255299,0.760491324411601
143,0,1,0.5,0.75,0.002,1,0.2,"relu",0.6,0.3,0.884995889058889,-20.5953875425018,0.439152731746558,4.21105664201533,0.255301606086409,0.559125026179344,0.808358005729822,0.648689154398664,-8.98747020402644,-0.448511642945974,2.54182284666842,0.0749734886427449,0.19893766255299,0.760491324411601
509,0,1,0.25,0.25,0.001,2,0.1,"relu",0.1,0.6,0.844789840635528,-22.6821243426711,0.359787976179002,3.40342995297429,0.211476972989953,0.487913026853557,0.796065713224481,0.648476466297141,-8.65764840444599,-0.219330654911209,2.15540053014335,0.0718982277511205,0.194162095412004,0.762108375145299
394,0,0,0.5,0.5,0.002,1,0.2,"relu",0.2,1,0.880175988249477,-20.702706830056,0.436994611101689,4.31874665325835,0.251163898731283,0.551197346247339,0.812181019145913,0.648412421597326,-9.16391799047469,-0.454425009741359,2.51599786868757,0.0729371288809815,0.201030377176589,0.765637037777045
411,0,0.4,1,0.75,0.001,2,0.1,"relu",0.6,0.9,0.843895506845479,-22.7703559675145,0.356226567176049,3.36831027326986,0.208119156579334,0.48588393840126,0.795359512179154,0.648388151203804,-8.63906492166234,-0.243861001847878,2.08317420480887,0.0725094061385315,0.192551704787347,0.758951522933429
453,0,1,0.25,1,0.002,2,0.1,"relu",0.7,0.6,0.888435025873745,-20.193454653711,0.454696857687897,4.62349442721242,0.276699471207426,0.574165894358908,0.812725124000249,0.648043891284017,-9.84772384348331,-1.30223781743001,2.5129382078899,0.0817934021520455,0.191305232957318,0.764919457103145
478,0,0.8,0.25,0,0.001,2,0.1,"relu",0.7,0.9,0.839277101508563,-23.0243201049128,0.346316871085449,3.2486521783221,0.200705678543183,0.476584555027149,0.793671172923877,0.647652518484294,-8.60005121513061,-0.226640054855339,2.04885814082436,0.0749651729168394,0.19260456064318,0.757486416045633
746,0,1,0.75,0,0.001,1,0.2,"relu",0.9,0.2,0.850232880424006,-22.64698479122,0.36130517023371,3.27127680844515,0.203558196706721,0.494308189060501,0.793560828763221,0.647487723907315,-8.42010200694661,-0.170309487212412,1.92398034655925,0.0701260431936324,0.201929808904681,0.754154455858562
69,0,0.2,1,0,0.002,1,0.2,"relu",1,0.5,0.881213747459989,-20.7549727817786,0.433434532736533,4.12449062159406,0.253322819882902,0.552974625345536,0.807185490936705,0.647213044371862,-9.00473767152302,-0.413473092865242,2.30714762236373,0.0716310380171183,0.195175660245997,0.758704516247856
