"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","cor.train_mean","AUC.valid_mean","ll.valid_mean","nagel.valid_mean","plr.valid_mean","cor.valid_mean"
374,0,0,0.5,0.75,0.002,1,0.2,"relu",0.2,0.1,0.860050962541591,-27.1058169278062,0.374538900702854,3.85117286631297,0.493203618690137,0.667484551868009,-10.2903652064841,-0.210498767047911,2.35936509497065,0.209108276397417
110,0,0.2,0.5,0,0.002,1,0.1,"relu",1,1,0.867551919349714,-26.1811579932632,0.402331541302184,4.48677756887592,0.513884689723368,0.665397365450958,-10.8949120384797,-0.34565096456332,2.21057459612211,0.200356612223179
325,0,0.2,0.25,0.75,0.002,1,0.2,"relu",0.8,0.3,0.866664370735984,-26.769840176226,0.384062933166795,3.8848850459339,0.50385295983342,0.663911581616339,-10.3156977663862,-0.200382675821577,2.297595098377,0.207459996484334
115,0,0.6,0.25,0.25,0.002,2,0.1,"relu",0.1,0.8,0.858919637029095,-26.9205744296848,0.38029734038367,4.19692609351436,0.495225427451091,0.663747956256317,-10.8950909856847,-0.357075444513906,2.3395669315683,0.202385661428536
868,0,1,1,0.5,0.002,2,0.1,"relu",0.1,0.8,0.859681350868015,-26.8958181154535,0.380078086946176,4.11615410898025,0.496930780295805,0.663510221711644,-10.8677144718534,-0.31737355331813,2.42714069809978,0.204231314652934
889,0,0.4,0.75,0.25,0.001,1,0.1,"relu",0.5,0.9,0.845304195751315,-27.8833213003424,0.348348854145584,3.65006753421731,0.473973219370401,0.662511898719972,-10.2550887332704,-0.153221596130376,3.22548493376838,0.198338970403067
837,0,0.6,0.5,0.75,0.002,2,0.2,"relu",0.1,0.8,0.835785279063807,-28.7509335839349,0.32373260808381,3.1811800406158,0.44621694558284,0.662510348968036,-10.145347455606,-0.142386659734849,2.20505888984154,0.200338360817811
226,0,0.4,0.75,0.5,0.001,1,0.1,"relu",0.5,0.9,0.842909633410277,-28.0513718968951,0.342970371949021,3.54119961446345,0.468759491402041,0.661707951774051,-10.2060246895168,-0.143681242227785,2.19635370374815,0.200965470774745
676,0,0.2,0.75,0.25,0.002,1,0.1,"relu",0.2,0.7,0.869063892576165,-26.0577563794746,0.406136967766654,4.60216160926435,0.519833457130981,0.661658747468876,-11.146771989263,-0.454229720236827,2.59878991149594,0.199092281800726
322,0,0.8,1,0.75,0.002,1,0.1,"relu",0.1,0.4,0.865019035006902,-26.3554268047275,0.396865189537887,4.48957997395179,0.512051240399463,0.661511359237865,-10.8845143533034,-0.346436640198637,2.21390882511017,0.198785436842436
224,0,1,0.5,0.25,0.002,2,0.2,"relu",0.1,0.9,0.839705238963702,-28.4652252660788,0.333991823442422,3.43906520326419,0.453929730815958,0.661496930390072,-10.2398387917008,-0.167821812192628,2.39532674345734,0.203723590728284
