"otu","var.abs","varx.abs","value.abs","var.pos","varx.pos","value.pos"
"R1__Insecta_Diptera_Tabanidae_Hybomitra_rhombica_BOLD_AAG4571_size.14764","l_rumple",14,0.060355029585798,"l_rumple",14,0.060355029585798
"R1.68__Insecta_Diptera_Asilidae_Laphria_NA_BOLD_AAG6876_size.6856","Ess30",9,0.0456439393939393,"Ess30",9,0.0456439393939393
"R10017.3__Insecta_Hemiptera_Aphididae_Cinara_pseudotaxifoliae_BOLD_ABU8198_size.101","ndvi_p5_r100",16,0.100150602409639,"ndvi_p5_r100",16,0.100150602409639
"R10098__Insecta_Diptera_Mycetophilidae_Mycomya_NA_BOLD_ACJ6978_size.215","tri30",7,0.057856673241289,"tri30",7,0.057856673241289
"R10161.4__Insecta_Diptera_Mycetophilidae_Cordyla_NA_BOLD_AAP6493_size.176","tpi1k",12,0.155120481927711,"tpi1k",12,0.155120481927711
"R10178.4__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACC2335_size.24","tpi250",11,-0.0479282622139762,"lg_DistRoad",25,0.0462275819418677
"R10463.8__Insecta_Lepidoptera_Yponomeutidae_Eucalantica_polita_BOLD_AAB6103_size.46","lg_cover4m_16m",28,-0.0938208616780047,"ndvi_p95_r250",20,0.0107709750566893
"R10545__Insecta_Diptera_Muscidae_Phaonia_NA_BOLD_ABU9891_size.2","ndmi_p95_r100",21,-0.0843621399176954,"ndvi_p5_r500",17,-0.00452674897119332
"R10790__Insecta_Diptera_Sciaridae_NA_NA_BOLD_ACC1657_size.68","be30",6,0.0948979591836738,"be30",6,0.0948979591836738
"R10952__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACC1523_size.20","twi30",10,0.0463510848126234,"twi30",10,0.0463510848126234
"R10996__Arachnida_Araneae_Gnaphosidae_Sergiolus_montanus_BOLD_AAP4007_size.311","ndvi_p95_r250",20,0.0905349794238683,"ndvi_p95_r250",20,0.0905349794238683
"R1306.3__Arachnida_Araneae_Anyphaenidae_Anyphaena_pacifica_BOLD_AAJ2526_size.3672","lg_DistStream",24,0.0436507936507942,"lg_DistStream",24,0.0436507936507942
"R1423.113__Insecta_Coleoptera_NA_NA_NA_BOLD_ACI2933_size.19","l_rumple",14,0.060654008438819,"l_rumple",14,0.060654008438819
"R1519.2__Insecta_Diptera_NA_NA_NA_BOLD_ACX8657_size.2595","tri30",7,0.089579224194609,"tri30",7,0.089579224194609
"R1570.177__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACI7290_size.24","gt4_500",1,-0.0482456140350876,"ndvi_p5_r100",16,0.0383040935672514
"R1581.186__Insecta_Coleoptera_Scraptiidae_NA_NA_BOLD_ABX2446_size.20","be30",6,-0.0887533875338754,"ndvi_p95_r250",20,0.0203252032520326
"R1583.112__Insecta_Diptera_Sphaeroceridae_NA_NA_BOLD_ACP8985_size.2","l_rumple",14,0.0946745562130175,"l_rumple",14,0.0946745562130175
"R1626.92__Insecta_Lepidoptera_Gelechiidae_Coleotechnites_NA_BOLD_AAW5246_size.243","tpi1k",12,-0.0793650793650794,"nbr_stdDev_r250",15,-0.00765306122448994
"R1631.2__Insecta_Coleoptera_Cerambycidae_Leptura_obliterata_BOLD_AAG5563_size.32225","l_rumple",14,0.03725299643667,"l_rumple",14,0.03725299643667
"R1646.3__Insecta_Diptera_Tabanidae_Chrysops_NA_BOLD_AAG4564_size.2038","l_rumple",14,0.0547188755020073,"l_rumple",14,0.0547188755020073
"R1693.110__Insecta_Lepidoptera_Gelechiidae_Neotelphusa_NA_BOLD_AAA6353_size.103","be30",6,0.0869467028003603,"be30",6,0.0869467028003603
"R1733.25__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACF5187_size.90","l_rumple",14,0.099588477366255,"l_rumple",14,0.099588477366255
"R1739.2__Insecta_Coleoptera_Elateridae_Gamepenthes_NA_BOLD_ACI5218_size.1948","lg_DistRoad",25,0.0487343852728467,"lg_DistRoad",25,0.0487343852728467
"R1778.25__Insecta_Coleoptera_Cerambycidae_Pidonia_scripta_BOLD_AAD6095_size.71","l_rumple",14,0.0981944444444447,"l_rumple",14,0.0981944444444447
"R1891.25__Insecta_Hymenoptera_Apidae_Bombus_sitkensis_BOLD_AAI4757_size.45","be30",6,0.0458049886621318,"be30",6,0.0458049886621318
"R1904.2__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACE8616_size.791","lg_cover4m_16m",28,0.0492135971588025,"lg_cover4m_16m",28,0.0492135971588025
"R1912.205__Insecta_Neuroptera_Hemerobiidae_Hemerobius_NA_BOLD_ACZ4269_size.13","cut_r1k",2,-0.161897590361446,"Ess30",9,-0.0328815261044182
"R1952.2__Insecta_Lepidoptera_Geometridae_Plagodis_pulveraria_BOLD_AAA6013_size.2395","ndvi_p5_r500",17,-0.0411564625850334,"be30",6,0.0145124716553292
"R2002.2__Arachnida_Araneae_Gnaphosidae_Orodrassus_canadensis_BOLD_ACD2419_size.31","be30",6,0.141025641025641,"be30",6,0.141025641025641
"R2132.10__Insecta_Coleoptera_NA_NA_NA_BOLD_ADC1012_size.170","be30",6,0.0340192806822393,"be30",6,0.0340192806822393
"R2197.71__Insecta_Diptera_Sciaridae_Bradysia_placida_BOLD_ACR4350_size.42","l_p25",13,-0.0491967871485943,"LC08_045029_20180726_B5",23,-0.0117971887550202
"R2339.2__Insecta_Diptera_Tabanidae_Chrysops_NA_BOLD_AAP7670_size.2174","twi30",10,0.0374753451676519,"twi30",10,0.0374753451676519
"R2352__Insecta_Hemiptera_Aphididae_Cinara_splendens_BOLD_AAL7025_size.391","lg_DistRoad",25,0.0499560825647786,"lg_DistRoad",25,0.0499560825647786
"R2420__Insecta_Hymenoptera_Vespidae_Dolichovespula_maculata_BOLD_AAB6388_size.239475","cut_r250",3,-0.0549999999999999,"be30",6,0.0465277777777778
"R2457.69__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACB9005_size.14","cut_r1k",2,-0.0620748299319732,"gt4_500",1,0.0419501133786846
"R2460.5__Insecta_Diptera_Muscidae_Helina_evecta_BOLD_AAC2498_size.2189","tri30",7,0.1,"tri30",7,0.1
"R2500.5__Insecta_Hymenoptera_Formicidae_Lasius_NA_BOLD_AAE1550_size.1938","be30",6,0.0784313725490198,"be30",6,0.0784313725490198
"R2583.137__Insecta_Lepidoptera_Argyresthiidae_Argyresthia_NA_BOLD_AAF5253_size.15","be30",6,0.184507678410118,"be30",6,0.184507678410118
"R2585.64__Insecta_Psocodea_Psocidae_Loensia_NA_BOLD_ACC5693_size.613","be30",6,0.110885275519421,"be30",6,0.110885275519421
"R2694.5__Insecta_Coleoptera_Cerambycidae_Stenostrophia_NA_BOLD_ABW6219_size.1211","lg_cover4m_16m",28,-0.0642570281124505,"lg_DistRoad",25,0.0461847389558223
"R2775.3__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACI9191_size.2219","be30",6,0.0550295857988169,"be30",6,0.0550295857988169
"R2833.3__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACG4506_size.666","ndvi_p95_r250",20,0.044836116264688,"ndvi_p95_r250",20,0.044836116264688
"R2850.3__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACT8296_size.525","tpi250",11,0.190379403794037,"tpi250",11,0.190379403794037
"R2925.21__Insecta_Diptera_NA_NA_NA_BOLD_AAZ4857_size.126","LC08_045029_20180726_B5",23,0.0483674463937618,"LC08_045029_20180726_B5",23,0.0483674463937618
"R2934.4__Arachnida_Opiliones_Phalangiidae_Leptobunus_NA_BOLD_ACI7739_size.4161","lg_cover2m_max",26,-0.0447124756335279,"tpi1k",12,0.0365497076023393
"R2962.90__Insecta_Hemiptera_Miridae_Phytocoris_NA_BOLD_AAG8886_size.20","ndvi_p50_r100",18,-0.0956544780074189,"gt4_500",1,-0.00993640699523046
"R2987.3__Insecta_Coleoptera_Cerambycidae_Lepturopsis_dolorosa_BOLD_AAJ1376_size.5036","tri30",7,0.0474644403215838,"tri30",7,0.0474644403215838
