"otu","var.abs","varx.abs","value.abs","var.pos","varx.pos","value.pos"
"R1__Insecta_Diptera_Tabanidae_Hybomitra_rhombica_BOLD_AAG4571_size.14764","be30",6,0.0714028088835666,"be30",6,0.0714028088835666
"R1.68__Insecta_Diptera_Asilidae_Laphria_NA_BOLD_AAG6876_size.6856","slope30",7,0.0295099564277522,"slope30",7,0.0295099564277522
"R10017.3__Insecta_Hemiptera_Aphididae_Cinara_pseudotaxifoliae_BOLD_ABU8198_size.101","l_rumple",14,0.0337665349911144,"l_rumple",14,0.0337665349911144
"R10098__Insecta_Diptera_Mycetophilidae_Mycomya_NA_BOLD_ACJ6978_size.215","slope30",7,0.0493943384261924,"slope30",7,0.0493943384261924
"R10161.4__Insecta_Diptera_Mycetophilidae_Cordyla_NA_BOLD_AAP6493_size.176","lg_DistStream",24,0.0233511214477701,"lg_DistStream",24,0.0233511214477701
"R10178.4__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACC2335_size.24","be30",6,0.0388740623642193,"be30",6,0.0388740623642193
"R10463.8__Insecta_Lepidoptera_Yponomeutidae_Eucalantica_polita_BOLD_AAB6103_size.46","be30",6,0.047274567499516,"be30",6,0.047274567499516
"R10545__Insecta_Diptera_Muscidae_Phaonia_NA_BOLD_ABU9891_size.2","be30",6,0.0247377521939513,"be30",6,0.0247377521939513
"R10790__Insecta_Diptera_Sciaridae_NA_NA_BOLD_ACC1657_size.68","be30",6,0.0556324017645939,"be30",6,0.0556324017645939
"R10952__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACC1523_size.20","lg_DistRoad",25,0.0381840159060013,"lg_DistRoad",25,0.0381840159060013
"R10996__Arachnida_Araneae_Gnaphosidae_Sergiolus_montanus_BOLD_AAP4007_size.311","be30",6,0.0339584636247842,"be30",6,0.0339584636247842
"R1306.3__Arachnida_Araneae_Anyphaenidae_Anyphaena_pacifica_BOLD_AAJ2526_size.3672","be30",6,0.0514320987912954,"be30",6,0.0514320987912954
"R1423.113__Insecta_Coleoptera_NA_NA_NA_BOLD_ACI2933_size.19","slope30",7,0.042240123366148,"slope30",7,0.042240123366148
"R1519.2__Insecta_Diptera_NA_NA_NA_BOLD_ACX8657_size.2595","slope30",7,0.0676462088691676,"slope30",7,0.0676462088691676
"R1570.177__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACI7290_size.24","be30",6,0.035832342796418,"be30",6,0.035832342796418
"R1581.186__Insecta_Coleoptera_Scraptiidae_NA_NA_BOLD_ABX2446_size.20","LC08_045029_20180726_B5",23,0.0220598690217236,"LC08_045029_20180726_B5",23,0.0220598690217236
"R1583.112__Insecta_Diptera_Sphaeroceridae_NA_NA_BOLD_ACP8985_size.2","be30",6,0.0374697803760112,"be30",6,0.0374697803760112
"R1626.92__Insecta_Lepidoptera_Gelechiidae_Coleotechnites_NA_BOLD_AAW5246_size.243","Ess30",9,0.0253619491173058,"Ess30",9,0.0253619491173058
"R1631.2__Insecta_Coleoptera_Cerambycidae_Leptura_obliterata_BOLD_AAG5563_size.32225","slope30",7,0.0381310270192721,"slope30",7,0.0381310270192721
"R1646.3__Insecta_Diptera_Tabanidae_Chrysops_NA_BOLD_AAG4564_size.2038","slope30",7,0.055027163420371,"slope30",7,0.055027163420371
