STCODE,FORMAT,CLASS,TAX_ORDER,FAMILY,SCI_NAME,AUTHOR,ADULT_HAB,IMMAT_HAB,ADULT_FUNC,IMMAT_FUNC,HOSTTYPE,HOST,ABUNDANCE,COLLECTION,REFERENCE
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACARIDIDA,ACARIDAE,(literature record only to family),,F-cn,F-cn,Fu,Fu,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACARIDIDA,GLYCYPHAGIDAE,(literature record only to family),,F-cn,F-cn,Fu,Fu,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,BDELLIDAE,Bdella sp.,,F-cn,F-cn,Pr,Pr,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,BDELLIDAE,Cyta sp. nr. latirostris,(Herman),F-cn,F-cn,Pr,Pr,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,BDELLIDAE,Spinibdella sp.,,F-cn,F-cn,Pr,Pr,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,CAECULIDAE,Caeculus krantzi,Coineau,F-lt,F-lt,Pr,Pr,,,U,A,40
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,CALIGONELLIDAE,Caligonella sp.,,F-cn,F-cn,Pr,Pr,,,C,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,CHEYLETIDAE,Cheletogenes sp.,,F-cn,F-cn,Pr,Pr,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,CRYPTOGNATHIDAE,Cryptognathus (imbricatus group) sp.,,F-cn,F-cn,,,,,C,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,CRYPTOGNATHIDAE,Cryptognathus sp.,,F-cn,F-cn,,,,,C,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,CUNAXIDAE,Cunaxoides sp.,,F-cn,F-cn,Pr,Pr,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,ENDEOSTIGMATIDES,(literature record only to supercohort),,F-cn,F-cn,,,,,,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,NANORCHESTIDAE,Nanorchestes sp.,,F-cn,F-cn,Fu,Fu,,,C,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,PARATYDEIDAE,Tanytydeus sp.,,F-cn,F-cn,Fu,Fu,,,C,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,PENTHALODIDAE,Penthalodes sp.,,F-cn,F-cn,Pr,Pr,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,RHAGIDIIDAE,(literature record only to family),,F-cn,F-cn,Pr,Pr,,,C,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,SMARIDIDAE,Sphaerotarsus sp.,,F-cn,ins,Pr,Pa,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,TERPNACARIDAE,N.Gen. (?),,F-cn,F-cn,Fu,Fu,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,TETRANYCHIDAE,(literature record only to family),,F-cn,F-cn,H,H,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,TYDEIDAE,Homotydeus sp.,,F-cn,F-cn,,,,,C,,1
