"index","SiteName","NeighborName","Distance"
"97","SM-04","HOBO-315",449.751042244484
"193","SM-04","HOBO-308",642.12537716555
"3937","SM-04","248762",801.064292051518
"2593","SM-04","SM-02",943.585714177573
"289","SM-04","HOBO-310",1119.062554105
"2","HOBO-315","SM-04",449.751042244484
"482","HOBO-315","HOBO-317",875.045141692701
"194","HOBO-315","HOBO-308",951.641213903643
"386","HOBO-315","HOBO-312",1057.68284471291
"3938","HOBO-315","248762",1068.99017769108
"3","HOBO-308","SM-04",642.12537716555
"2595","HOBO-308","SM-02",701.276692896606
"291","HOBO-308","HOBO-310",703.957385073841
"99","HOBO-308","HOBO-315",951.641213903643
"387","HOBO-308","HOBO-312",1180.94877111583
"388","HOBO-310","HOBO-312",671.181048600152
"196","HOBO-310","HOBO-308",703.957385073841
"484","HOBO-310","HOBO-317",1056.40569858365
"4","HOBO-310","SM-04",1119.062554105
"100","HOBO-310","HOBO-315",1166.8028968082
"485","HOBO-312","HOBO-317",464.294087836578
"293","HOBO-312","HOBO-310",671.181048600152
"101","HOBO-312","HOBO-315",1057.68284471291
"197","HOBO-312","HOBO-308",1180.94877111583
"5","HOBO-312","SM-04",1267.21939694751
"390","HOBO-317","HOBO-312",464.294087836578
"102","HOBO-317","HOBO-315",875.045141692701
"294","HOBO-317","HOBO-310",1056.40569858365
"6","HOBO-317","SM-04",1226.93928130124
"198","HOBO-317","HOBO-308",1373.34081713171
"871","622337","700239",607.378794493189
"1543","622337","700226",1095.30361087691
"9031","622337","593665",1552.62648438058
"679","622337","594580",2000.14324487023
"775","622337","544292",2973.58537795705
"968","594580","601725",1175.66024003536
"872","594580","700239",1393.12598138144
"776","594580","544292",1428.96640968219
"584","594580","622337",2000.14324487023
"6248","594580","HOBO-357",2537.05025571036
"6345","544292","HOBO-353",1191.89974410602
"6537","544292","HOBO-351",1194.44924546839
"6249","544292","HOBO-357",1285.46372955444
"681","544292","594580",1428.96640968219
"6153","544292","HOBO-347",1493.32648807955
"586","700239","622337",607.378794493189
"682","700239","594580",1393.12598138144
"1546","700239","700226",1688.77026264676
"9034","700239","593665",2088.18485771734
"778","700239","544292",2444.6236929229
"683","601725","594580",1175.66024003536
"779","601725","544292",1806.16721263564
"1067","601725","647830",2415.82553177998
"875","601725","700239",2496.84621072264
"6347","601725","HOBO-353",2711.60930076588
"1164","647830","652934",719.836092454386
