"otu","var.abs","varx.abs","value.abs","var.pos","varx.pos","value.pos"
"R1__Insecta_Diptera_Tabanidae_Hybomitra_rhombica_BOLD_AAG4571_size.14764","be30",6,0.091995923174586,"be30",6,0.091995923174586
"R1.68__Insecta_Diptera_Asilidae_Laphria_NA_BOLD_AAG6876_size.6856","Ess30",9,0.0574996663696702,"Ess30",9,0.0574996663696702
"R10017.3__Insecta_Hemiptera_Aphididae_Cinara_pseudotaxifoliae_BOLD_ABU8198_size.101","ndvi_p5_r500",17,0.0620781420704718,"ndvi_p5_r500",17,0.0620781420704718
"R10098__Insecta_Diptera_Mycetophilidae_Mycomya_NA_BOLD_ACJ6978_size.215","tri30",7,0.0606914020111759,"tri30",7,0.0606914020111759
"R10161.4__Insecta_Diptera_Mycetophilidae_Cordyla_NA_BOLD_AAP6493_size.176","lg_DistStream",24,0.0511914547162091,"lg_DistStream",24,0.0511914547162091
"R10178.4__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACC2335_size.24","cut_r250",3,0.0592205148658812,"cut_r250",3,0.0592205148658812
"R10463.8__Insecta_Lepidoptera_Yponomeutidae_Eucalantica_polita_BOLD_AAB6103_size.46","be30",6,0.0588426644092102,"be30",6,0.0588426644092102
"R10545__Insecta_Diptera_Muscidae_Phaonia_NA_BOLD_ABU9891_size.2","lg_DistRoad",25,0.0546369528533097,"lg_DistRoad",25,0.0546369528533097
"R10790__Insecta_Diptera_Sciaridae_NA_NA_BOLD_ACC1657_size.68","lg_DistRoad",25,0.0872649939097246,"lg_DistRoad",25,0.0872649939097246
"R10952__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACC1523_size.20","ndvi_p95_r250",20,0.0799873792572904,"ndvi_p95_r250",20,0.0799873792572904
"R10996__Arachnida_Araneae_Gnaphosidae_Sergiolus_montanus_BOLD_AAP4007_size.311","nbr_stdDev_r250",15,0.0583139208713265,"nbr_stdDev_r250",15,0.0583139208713265
"R1306.3__Arachnida_Araneae_Anyphaenidae_Anyphaena_pacifica_BOLD_AAJ2526_size.3672","lg_DistStream",24,0.0806485244609826,"lg_DistStream",24,0.0806485244609826
"R1423.113__Insecta_Coleoptera_NA_NA_NA_BOLD_ACI2933_size.19","twi30",10,0.0718859097006125,"twi30",10,0.0718859097006125
"R1519.2__Insecta_Diptera_NA_NA_NA_BOLD_ACX8657_size.2595","lg_DistRoad",25,0.0771512831008034,"lg_DistRoad",25,0.0771512831008034
"R1570.177__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACI7290_size.24","nbr_stdDev_r250",15,0.0513057323063374,"nbr_stdDev_r250",15,0.0513057323063374
"R1581.186__Insecta_Coleoptera_Scraptiidae_NA_NA_BOLD_ABX2446_size.20","Ess30",9,0.0589177227951078,"Ess30",9,0.0589177227951078
"R1583.112__Insecta_Diptera_Sphaeroceridae_NA_NA_BOLD_ACP8985_size.2","l_rumple",14,0.0521881631449659,"l_rumple",14,0.0521881631449659
"R1626.92__Insecta_Lepidoptera_Gelechiidae_Coleotechnites_NA_BOLD_AAW5246_size.243","tri30",7,0.0521282756753659,"tri30",7,0.0521282756753659
